tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2009:364:23:03:48.834	2009:364:23:08:28.834	56554	-99616	6	6	0	0	96.60	47.87
2009:364:23:08:28.834	2009:364:23:13:08.834	56554	-99616	6	6	0	0	96.60	47.93
2009:364:23:13:08.834	2009:364:23:17:48.834	56554	-99616	6	6	0	0	96.60	48.17
2009:364:23:17:48.834	2009:364:23:22:28.834	56554	-99616	6	6	0	0	96.60	48.61
2009:364:23:22:28.834	2009:364:23:27:08.834	56554	-99616	6	6	0	0	96.60	49.07
2009:364:23:27:08.834	2009:364:23:31:34.445	56554	-99616	6	6	0	0	96.60	49.36
2009:364:23:31:34.445	2009:364:23:35:53.189	56554	-99616	6	6	0	0	96.60	49.43
2009:364:23:35:53.189	2009:364:23:35:57.189	56554	-99616	6	6	0	0	96.60	49.43
2009:364:23:35:57.189	2009:364:23:36:01.189	56554	-99616	6	6	0	0	96.60	49.43
2009:364:23:36:01.189	2009:364:23:36:25.189	56554	-99616	0	0	1	0	40.00	49.43
2009:364:23:36:25.189	2009:364:23:37:32.189	56554	-99616	6	6	1	0	118.00	49.43
2009:364:23:37:32.189	2009:365:01:36:30.633	56554	-99616	6	6	1	1	129.00	49.43
2009:365:01:36:30.633	2009:365:01:41:10.633	56554	-99616	6	6	1	1	129.00	49.34
2009:365:01:41:10.633	2009:365:01:45:50.633	56554	-99616	6	6	1	1	129.00	53.24
2009:365:01:45:50.633	2009:365:01:50:30.633	56554	-99616	6	6	1	1	129.00	66.82
2009:365:01:50:30.633	2009:365:01:55:10.633	56554	-99616	6	6	1	1	129.00	87.44
2009:365:01:55:10.633	2009:365:01:59:50.633	56554	-99616	6	6	1	1	129.00	108.39
2009:365:01:59:50.633	2009:365:02:04:30.633	56554	-99616	6	6	1	1	129.00	129.35
2009:365:02:04:30.633	2009:365:02:04:41.189	56554	-99616	6	6	1	1	129.00	149.72
2009:365:02:04:41.189	2009:365:02:07:41.189	56554	-99616	6	6	1	0	118.00	149.72
2009:365:02:07:41.189	2009:365:02:09:10.633	12067	73176	6	6	1	0	118.00	149.72
2009:365:02:09:10.633	2009:365:02:10:41.189	12067	73176	6	6	1	0	118.00	162.43
2009:365:02:10:41.189	2009:365:02:10:45.189	12067	73176	6	6	1	0	118.00	162.43
2009:365:02:10:45.189	2009:365:02:10:49.189	12067	73176	6	6	1	0	118.00	162.43
2009:365:02:10:49.189	2009:365:02:11:13.189	12067	73176	0	0	1	0	40.00	162.43
2009:365:02:11:13.189	2009:365:02:12:16.189	12067	73176	6	6	1	0	118.00	162.43
2009:365:02:12:16.189	2009:365:02:13:24.519	12067	73176	6	6	1	1	129.00	162.43
2009:365:02:13:24.519	2009:365:03:53:24.519	12067	73176	6	6	1	1	129.00	165.57
2009:365:03:53:24.519	2009:365:05:22:57.189	12067	73176	6	6	1	1	129.00	165.50
2009:365:05:22:57.189	2009:365:05:23:07.440	12067	75624	6	6	1	0	118.00	165.50
2009:365:05:23:07.440	2009:365:05:25:57.189	12067	75624	6	6	1	0	118.00	165.44
2009:365:05:25:57.189	2009:365:05:27:47.440	10991	75624	6	6	1	0	118.00	165.44
2009:365:05:27:47.440	2009:365:05:30:47.789	10991	75624	6	6	1	0	118.00	161.52
2009:365:05:30:47.789	2009:365:05:30:51.789	10991	75624	6	6	1	0	118.00	161.52
2009:365:05:30:51.789	2009:365:05:30:55.789	10991	75624	6	6	1	0	118.00	161.52
2009:365:05:30:55.789	2009:365:05:31:19.789	10991	75624	0	0	1	0	40.00	161.52
2009:365:05:31:19.789	2009:365:05:32:26.789	10991	75624	1	1	1	0	58.30	161.52
2009:365:05:32:26.789	2009:365:05:32:27.440	10991	75624	1	1	1	1	57.00	161.52
2009:365:05:32:27.440	2009:365:05:36:32.217	10991	75624	1	1	1	1	57.00	151.14
2009:365:05:36:32.217	2009:365:08:01:32.217	10991	75624	1	1	1	1	57.00	148.24
2009:365:08:01:32.217	2009:365:10:26:32.217	10991	75624	1	1	1	1	57.00	148.14
2009:365:10:26:32.217	2009:365:12:51:32.217	10991	75624	1	1	1	1	57.00	148.04
2009:365:12:51:32.217	2009:365:15:16:32.217	10991	75624	1	1	1	1	57.00	147.94
2009:365:15:16:32.217	2009:365:17:41:32.217	10991	75624	1	1	1	1	57.00	147.84
2009:365:17:41:32.217	2009:365:20:06:32.217	10991	75624	1	1	1	1	57.00	147.74
2009:365:20:06:32.217	2009:365:21:59:05.789	10991	75624	1	1	1	1	57.00	147.64
2009:365:21:59:05.789	2009:365:21:59:16.040	10991	75624	1	1	1	0	58.30	147.64
2009:365:21:59:16.040	2009:365:22:02:05.789	10991	75624	1	1	1	0	58.30	147.56
2009:365:22:02:05.789	2009:365:22:02:09.789	11534	75624	1	1	1	0	58.30	147.56
2009:365:22:02:09.789	2009:365:22:02:13.789	11534	75624	1	1	1	0	58.30	147.56
2009:365:22:02:13.789	2009:365:22:02:37.789	11534	75624	0	0	1	0	40.00	147.56
2009:365:22:02:37.789	2009:365:22:03:44.789	11534	75624	5	5	1	0	112.30	147.56
2009:365:22:03:44.789	2009:365:22:04:16.040	11534	75624	5	5	1	1	113.90	147.56
2009:365:22:04:16.040	2009:365:22:09:16.040	11534	75624	5	5	1	1	113.90	142.99
2009:365:22:09:16.040	2009:365:22:14:16.040	11534	75624	5	5	1	1	113.90	127.23
2009:365:22:14:16.040	2009:365:22:19:16.040	11534	75624	5	5	1	1	113.90	104.80
2009:365:22:19:16.040	2009:365:22:24:16.040	11534	75624	5	5	1	1	113.90	82.45
2009:365:22:24:16.040	2009:365:22:29:00.417	11534	75624	5	5	1	1	113.90	67.28
