tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2008:310:00:56:56.858	2008:310:01:01:26.858	57528	-99612	6	6	1	1	129.00	155.46
2008:310:01:01:26.858	2008:310:01:05:56.858	57528	-99612	6	6	1	1	129.00	155.52
2008:310:01:05:56.858	2008:310:01:10:26.858	57528	-99612	6	6	1	1	129.00	155.56
2008:310:01:10:26.858	2008:310:01:13:54.438	57528	-99612	6	6	1	1	129.00	155.58
2008:310:01:13:54.438	2008:310:03:05:06.858	57528	-99612	6	6	1	1	129.00	155.58
2008:310:03:05:06.858	2008:310:03:08:06.858	57528	-99612	6	6	1	0	118.00	155.58
2008:310:03:08:06.858	2008:310:03:08:15.858	57528	-99612	6	6	1	0	118.00	155.58
2008:310:03:08:15.858	2008:310:03:08:54.438	57528	-99612	6	6	0	0	96.60	155.58
2008:310:03:08:54.438	2008:310:04:49:21.055	57528	-99612	6	6	0	0	96.60	155.61
2008:310:04:49:21.055	2008:310:04:54:11.055	57527	-99612	6	6	0	0	96.60	155.63
2008:310:04:54:11.055	2008:310:04:59:01.055	57527	-99612	6	6	0	0	96.60	155.52
2008:310:04:59:01.055	2008:310:05:03:36.863	57527	-99612	6	6	0	0	96.60	155.23
2008:310:05:03:36.863	2008:310:06:58:36.863	57527	-99612	6	6	0	0	96.60	155.14
2008:310:06:58:36.863	2008:310:08:53:36.863	57527	-99612	6	6	0	0	96.60	155.14
2008:310:08:53:36.863	2008:310:10:35:23.454	57527	-99612	6	6	0	0	96.60	155.14
2008:310:10:35:23.454	2008:310:10:39:13.454	57526	-99612	6	6	0	0	96.60	155.14
2008:310:10:39:13.454	2008:310:10:43:03.454	57526	-99612	6	6	0	0	96.60	155.19
2008:310:10:43:03.454	2008:310:10:46:53.454	57526	-99612	6	6	0	0	96.60	155.36
2008:310:10:46:53.454	2008:310:10:50:14.372	57526	-99612	6	6	0	0	96.60	155.50
2008:310:10:50:14.372	2008:310:12:50:14.372	57526	-99612	6	6	0	0	96.60	155.53
